عدد الساعات لمسجل عليها,المعدل التراكمي التقريبي من 100,نسبة الحضور في جميع المقررات من 100,عدد المرات التي تأخرت بها عن تسديد القسط,عدد المرات التي لم تتأخر بها عن تسديد القسط,عدد الاخوة والاخوات الطلاب في التعليم الجامعي الخاص,قيمة القسط الفصلي بشكل تقديري,عدد الاشخاص العاملين بالاسرة,بعد سكن الطالب عن مركز الجامعة بالكيلو متر,target_class,target_delay_days,السنة_الدراسية_ord,الدخل_الشهري_ord,هل_تعمل_bin,هل_سبق_تأخر_bin,أقساط_سابقة_غير_مسددة_bin,الفرع_علوم طبية وصحية,الفرع_هندسة مدنية,الفرع_هندسة معلوماتية,من المسؤول عن دفع القسط_الطالب,من المسؤول عن دفع القسط_جهة داعمة,من المسؤول عن دفع القسط_منحة,المحافظة_اللاذقية,المحافظة_حلب,المحافظة_حماه,المحافظة_حمص,المحافظة_درعا,المحافظة_دمشق,المحافظة_دير الزور,المحافظة_ريف دمشق,السكن_مخيم,السكن_ملك
12.0,74.0,90,1.0,4.0,2.0,450.0,1,59.0,1,5.0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9.0,67.0,50,3.0,8.0,1.0,170.0,1,5.0,1,14.0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,75.0,80,3.0,9.0,3.0,200.0,1,2.0,1,5.0,4,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
9.0,70.0,20,2.0,4.0,1.0,100.0,2,20.0,1,60.0,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
25.0,77.0,90,3.0,7.0,1.0,200.0,2,3.0,0,60.0,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,75.0,50,3.0,7.0,2.0,160.0,2,60.0,1,13.0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,84.0,50,2.0,7.0,2.0,300.0,2,10.0,0,30.0,3,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
6.0,50.0,20,1.0,5.0,1.0,60.0,3,160.0,1,5.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,50.0,30,5.0,4.0,1.0,300.0,1,20.0,0,30.0,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9.0,74.0,90,1.0,5.0,1.0,186.0,2,80.0,1,1.0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
